1603292258.0313807,0.0043124999999999995,-7.966666666666667e-05,15.1599,180.0,180.0,253.327,123.041492,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292258.333644,0.0043155,-7.766666666666667e-05,15.9498,180.0,180.0,244.277,127.62148,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292258.6330197,0.004318666666666667,-7.55e-05,16.7545,180.0,180.0,235.409,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292258.932714,0.004322,-7.3e-05,17.5766,180.0,180.0,234.758,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292259.2264612,0.0043254999999999995,-7.016666666666667e-05,18.3869,180.0,180.0,234.758,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292259.5294635,0.004329166666666666,-6.716666666666667e-05,19.2593,180.0,180.0,234.758,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292259.8292158,0.004333166666666667,-6.383333333333333e-05,20.1273,180.0,180.0,234.758,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292260.1310468,0.004337166666666667,-6.0333333333333334e-05,21.0134,180.0,180.0,234.758,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292260.4315135,0.0043415,-5.65e-05,21.9067,180.0,180.0,234.758,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292260.7273362,0.004345833333333333,-5.266666666666667e-05,22.8004,180.0,180.0,233.358,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292261.0289736,0.004350333333333333,-4.883333333333333e-05,23.7108,180.0,180.0,224.458,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292261.332394,0.004354833333333334,-4.516666666666667e-05,24.6336,180.0,180.0,215.458,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292261.6269596,0.0043595000000000005,-4.116666666666667e-05,25.5283,180.0,180.0,206.358,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292261.9278374,0.004364166666666667,-3.733333333333333e-05,26.4346,180.0,180.0,197.508,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292262.2270665,0.004369,-3.3333333333333335e-05,27.3162,180.0,180.0,188.458,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292262.5275784,0.004373833333333333,-2.9500000000000002e-05,28.1885,180.0,180.0,180.127,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603292262.828941,0.0043788333333333335,-2.5666666666666666e-05,29.0429,180.0,180.0,180.0,130.10858,199.5,185.04343200000002
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
