1603294175.206277,-0.012724333333333334,0.013198666666666666,53.6989,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294175.4994223,-0.012721666666666666,0.013202166666666666,53.7283,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294175.80043,-0.012718833333333334,0.0132055,53.7583,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294176.1083648,-0.012716,0.013209,53.7884,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294176.4018826,-0.012713166666666666,0.013212499999999999,53.8176,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294176.7040627,-0.012710333333333332,0.013216,53.8475,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294176.9978738,-0.012707666666666667,0.0132195,53.877,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294177.3029535,-0.012704666666666666,0.013223,53.9076,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294177.6063726,-0.012702,0.013226333333333333,53.9382,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294177.898077,-0.012699166666666668,0.013229833333333333,53.9674,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294178.20465,-0.012696333333333334,0.013233333333333335,53.9977,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294178.505756,-0.012693666666666666,0.013236666666666667,54.0273,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294178.7980752,-0.012691000000000001,0.013240166666666666,54.0559,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294179.103709,-0.012688166666666667,0.0132435,54.0854,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294179.4001167,-0.012685499999999999,0.013246833333333334,54.1137,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294179.701492,-0.012682666666666667,0.013250166666666667,54.1425,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294180.0022204,-0.01268,0.0132535,54.1708,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294180.3056884,-0.012677166666666666,0.013257,54.199,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294180.5992093,-0.0126745,0.013260333333333334,54.2265,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294180.9023163,-0.012671666666666666,0.013263833333333334,54.255,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294181.198856,-0.012669000000000001,0.013267166666666667,54.2831,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294181.5037363,-0.012666166666666668,0.013270833333333334,54.3121,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294181.8064501,-0.0126635,0.013274166666666667,54.3411,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294182.0966644,-0.012660666666666666,0.013277833333333332,54.3691,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603294182.401428,-0.012657833333333333,0.013281333333333334,54.3985,180.0,180.0,180.0,35.755720000000004,57.026144,60.07503599999999
