1600949474.6697173,0.022201666666666668,-0.0021015,359.05,145.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949474.7704175,0.022206833333333335,-0.0021021666666666667,359.288,145.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949474.870507,0.022217166666666666,-0.0021033333333333334,359.528,145.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949475.0686882,0.022222333333333334,-0.0021038333333333334,0.0184199,145.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949475.1695008,0.0222275,-0.0021043333333333335,0.268465,145.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949475.2703214,0.022232666666666668,-0.0021048333333333336,0.521591,145.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949475.4689128,0.022242833333333333,-0.0021058333333333333,1.03602,151.8,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949475.5698743,0.022248,-0.0021063333333333333,1.29677,151.8,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949475.6700034,0.022253166666666668,-0.002106666666666667,1.56367,151.8,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949475.8632574,0.022262999999999998,-0.0021075,2.0648,160.85,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949475.9634202,0.022273333333333332,-0.002108333333333333,2.33725,160.85,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949476.1119573,0.022273333333333332,-0.002108333333333333,2.59996,169.7,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949476.2380097,0.0222785,-0.0021088333333333332,2.59996,169.7,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949476.341707,0.022283666666666667,-0.0021091666666666667,2.8611,169.7,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949476.49029,0.022293999999999998,-0.00211,3.64265,178.75,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949476.669512,0.022304333333333332,-0.0021108333333333335,4.14256,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949476.7740688,0.0223095,-0.0021111666666666666,4.39328,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949476.9695437,0.022319666666666668,-0.002111833333333333,4.88036,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949477.069612,0.022329833333333333,-0.0021125000000000002,5.11703,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949477.169656,0.022335,-0.0021128333333333333,5.35589,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949477.2708302,0.022335,-0.0021128333333333333,5.59298,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949477.4613643,0.02234483333333333,-0.0021133333333333334,6.04268,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949477.5623355,0.02235,-0.0021135,6.27492,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949477.6626375,0.022355,-0.0021136666666666665,6.50942,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949477.7630076,0.022360166666666667,-0.002114,6.73851,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949477.86321,0.0223705,-0.0021141666666666665,6.96611,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949478.062998,0.0223755,-0.0021143333333333335,7.41693,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949478.164485,0.022380666666666667,-0.0021145,7.64765,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949478.2664387,0.022386,-0.0021145,7.86582,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949478.3668306,0.022391,-0.0021145,8.0937,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949478.4676082,0.022396333333333334,-0.0021145,8.31289,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949478.5684693,0.0224015,-0.0021145,8.5308,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949478.669791,0.0224065,-0.0021145,8.75104,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949478.7711112,0.022411833333333336,-0.0021143333333333335,8.97001,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949478.9626756,0.022421666666666666,-0.002114,9.37943,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949479.0630624,0.022426833333333333,-0.0021138333333333334,9.59132,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1600949479.1656182,0.022432,-0.0021136666666666665,9.80556,180.0,180.0,180.0,226.1,226.1,226.1
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
