time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293369.3138807,-0.009871333333333334,0.014116,193.722,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293369.6084673,-0.009883333333333333,0.014112833333333333,193.496,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293369.9181023,-0.009895666666666667,0.0141095,193.246,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293370.212681,-0.009907833333333334,0.014106166666666666,192.995,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293370.5113626,-0.00992,0.014103000000000001,192.73,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293370.8111978,-0.009932166666666666,0.014099833333333334,192.451,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293371.1140501,-0.009944166666666667,0.014096833333333333,192.161,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293371.4089172,-0.009956166666666665,0.014093666666666668,191.861,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293371.7094145,-0.0099685,0.0140905,191.544,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293372.0088992,-0.0099805,0.0140875,191.218,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293372.3120205,-0.009992666666666667,0.014084333333333334,190.875,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293372.6100025,-0.010004833333333333,0.014081333333333333,190.522,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293372.909476,-0.010016833333333334,0.014078333333333333,190.158,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293373.2185452,-0.010029000000000001,0.014075333333333334,189.767,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
time,lat,lon,hdg,rsa_0,rsa_1,rsa_2,rpm_0,rpm_1,rpm_2
1603293373.5128481,-0.010041166666666665,0.014072333333333333,189.381,201.571,180.0,180.0,170.586864,185.04343200000002,187.93485199999998
