1597406603.8935962,4.975955166666667,-2.0900648333333334,340.688,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406604.1012418,4.975961333333333,-2.090065666666667,339.732,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406604.3463476,4.975970666666667,-2.0900671666666666,338.87,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406604.6008031,4.975977,-2.0900685,337.455,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406604.808746,4.9759865,-2.0900705,336.545,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406605.0808313,4.975992333333333,-2.090072166666667,335.644,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406605.2963548,4.975998166666667,-2.0900738333333333,334.317,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406605.5046747,4.976004,-2.0900756666666664,333.393,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406605.71877,4.9760124999999995,-2.0900785,332.525,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406605.9893606,4.9760185,-2.0900806666666667,331.608,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406606.1998315,4.976024166666667,-2.0900826666666665,330.294,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406606.4438672,4.976033,-2.0900856666666665,329.412,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406606.701191,4.976039,-2.090087666666667,328.05,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406606.901531,4.976047833333333,-2.0900905,327.183,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406607.1663463,4.9760535,-2.0900925,326.303,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406607.399927,4.9760591666666665,-2.090094666666667,324.958,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406607.6020648,4.9760645,-2.090097166666667,324.03,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406607.8043091,4.9760725,-2.0901011666666665,323.194,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406608.0800188,4.976077833333333,-2.090104,322.31,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406608.302285,4.976083166666667,-2.090107166666667,320.967,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406608.544268,4.976090833333333,-2.0901118333333333,320.135,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406608.8000603,4.976095833333334,-2.090115,318.808,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406609.0028925,4.976101166666667,-2.0901183333333333,317.935,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406609.261361,4.976108833333333,-2.0901228333333335,317.104,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406609.4930854,4.976114,-2.0901256666666668,315.81,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406609.7018526,4.976119,-2.0901285,314.942,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406609.9904766,4.976126333333333,-2.0901328333333336,314.081,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406610.1970775,4.976131166666667,-2.0901358333333335,312.784,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406610.4033027,4.976136,-2.090139333333333,311.894,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406610.6046164,4.976140666666667,-2.090142833333333,311.065,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406610.813108,4.9761475,-2.090148666666667,310.203,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406611.076209,4.976151833333334,-2.090153,309.316,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406611.3008454,4.976155833333333,-2.090157,308.051,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406611.5052304,4.97616,-2.0901613333333335,307.199,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406611.7063303,4.9761663333333335,-2.090167666666667,306.347,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406611.995846,4.976170166666667,-2.0901716666666665,305.128,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406612.199369,4.976174333333333,-2.0901755,304.253,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406612.4027863,4.976178666666667,-2.0901795,303.383,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406612.62847,4.976185,-2.090185,302.561,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406612.9008052,4.976189,-2.0901888333333334,301.273,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406613.17129,4.9761948333333335,-2.090195,300.439,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406613.3955479,4.976198666666667,-2.090199166666667,299.177,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406613.6051059,4.976202,-2.0902036666666666,298.32,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406613.9002173,4.976206833333333,-2.0902103333333333,297.049,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406614.1733522,4.976211833333333,-2.0902175,296.257,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406614.394962,4.976215166666667,-2.0902226666666666,294.997,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406614.5958514,4.976218666666667,-2.090227666666667,294.16,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406614.799278,4.976221833333334,-2.0902325,293.323,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406615.078425,4.976226666666666,-2.0902395,292.511,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406615.29694,4.976229833333333,-2.090244333333333,291.244,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406615.498319,4.976232833333333,-2.090249,290.399,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406615.7015166,4.976235666666667,-2.090253166666667,289.546,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406615.9024816,4.976238666666667,-2.0902578333333333,288.7,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406616.169763,4.9762425,-2.0902646666666667,287.897,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406616.4023705,4.9762450000000005,-2.0902695,286.617,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406616.6270292,4.976249,-2.0902771666666666,285.808,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406616.897811,4.976251666666666,-2.0902825,284.575,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406617.1062124,4.976254,-2.0902875,283.716,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406617.3545387,4.976257666666667,-2.0902958333333332,282.912,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406617.6091661,4.976259833333334,-2.090301333333333,281.674,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406617.8111255,4.976263,-2.0903088333333333,280.874,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406618.0782254,4.976264666666666,-2.090313666666667,280.058,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406618.3025174,4.976266333333333,-2.0903188333333333,278.791,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406618.5331292,4.976268166666666,-2.090326166666667,277.987,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406618.8040774,4.976269666666667,-2.0903315,276.71,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406619.0818028,4.976272,-2.090339166666667,275.919,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406619.3255348,4.976273666666667,-2.090345,274.658,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406619.5325797,4.9762765,-2.0903531666666666,273.815,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406619.799879,4.976278166666667,-2.0903586666666665,272.573,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406620.0014677,4.976280166666667,-2.0903643333333335,271.732,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406620.257445,4.976282333333334,-2.0903723333333333,270.939,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406620.5022597,4.9762835,-2.0903776666666665,269.662,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406620.7175848,4.9762846666666665,-2.0903856666666667,268.855,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406620.985021,4.976285166666667,-2.090391,268.015,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406621.2017622,4.976285833333334,-2.090396166666667,266.773,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406621.4386804,4.976286333333333,-2.0904043333333333,265.986,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406621.6978505,4.976286333333333,-2.090409833333333,264.76,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406621.900459,4.976286666666667,-2.090415166666667,263.916,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406622.1028483,4.976286833333333,-2.0904208333333334,263.1,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406622.3558104,4.9762875,-2.0904291666666666,262.317,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406622.6032197,4.976287666666667,-2.090434666666667,261.049,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406622.808837,4.9762881666666665,-2.090443,260.249,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406623.0141194,4.976288666666667,-2.0904456666666666,259.415,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406623.261499,4.976288666666667,-2.090453833333333,258.608,0.0,35.0
time,lat,lon,hdg,rpm,rsa
1597406623.4971728,4.976288666666667,-2.0904593333333334,257.384,315.04,35.0
time,lat,lon,hdg,rpm,rsa
1597406623.699619,4.976288666666667,-2.0904648333333333,256.559,315.04,35.0
time,lat,lon,hdg,rpm,rsa
